P_um,N,I_b_nA,fill,n_real,det_rms_nm,det_max_nm,stoch_rms_nm,stoch_max_nm,stoch_p99_nm,stoch_mean_nm
2.0,100,1.0,0.3,30,130.81821016155325,179.68476182155143,7.555193448676578,9.63766270261852,9.48305544310404,7.510786341681775
2.0,100,1.0,0.5,30,217.93137909825583,298.019535878714,8.206986862306367,10.405696542509716,10.166654196900106,8.157365276761816
2.0,100,1.0,0.7,30,304.98257206025767,416.17371206605355,7.818517896792674,10.232391761855602,9.648403044803699,7.768088804854695
2.0,100,5.0,0.3,30,646.3229152213296,889.2908876640696,37.936138271300266,48.7782595987025,46.99651528819486,37.71176542044539
2.0,100,5.0,0.5,30,1078.7822561620328,1485.2558190729642,41.3876889015039,53.49930224792871,52.66679096102598,41.107047888542496
2.0,100,5.0,0.7,30,1510.2832248154157,2074.3816612892238,39.0522549921785,50.12005353180969,48.083819240065566,38.80662610120484
2.0,100,10.0,0.3,30,1253.620866930382,1786.5321882703292,77.9797225122923,100.47350542024576,97.85290682705877,77.50119821590206
2.0,100,10.0,0.5,30,2084.9686871107747,2960.2878268220916,84.35622906888983,112.26052231561123,107.8845945248097,83.86250389688054
2.0,100,10.0,0.7,30,2916.7185166414047,4147.308504258525,79.00654484578328,101.17682936050021,95.1876653766496,78.54647908428116
2.0,316,1.0,0.3,30,405.9325290825335,567.0585114149801,8.675056861391578,11.27754497098368,10.997690013292223,8.614282193528537
2.0,316,1.0,0.5,30,676.1029582792122,944.7976092079537,9.541711086198966,12.540217012673404,12.178150168174037,9.47739347754752
2.0,316,1.0,0.7,30,946.9276897949727,1323.536076381184,8.682966033269762,11.477969283798318,10.95028327798801,8.629857113779796
2.0,316,5.0,0.3,30,2011.043676792558,2832.436948959143,43.03882529707834,57.5512486232686,51.47519382490476,42.80255925646219
2.0,316,5.0,0.5,30,3353.311702598822,4722.464461866044,46.81516954662891,61.26299284489733,58.06184380877161,46.53419637523811
2.0,316,5.0,0.7,30,4693.518613447319,6605.649422909436,43.17789473152639,53.29285477480771,51.76063603472069,42.95081248527051
2.0,316,10.0,0.3,30,4091.6486063217526,5634.009906587012,88.12556651168222,116.41899280109978,111.43227569239866,87.59896924316797
2.0,316,10.0,0.5,30,6822.6163213069385,9418.979195659396,96.31349948960974,118.29580098358414,116.64162104558096,95.78946758259347
2.0,316,10.0,0.7,30,9557.277068061403,13201.634028308275,88.22135630340516,113.29448959500147,110.61517855339619,87.69642174540388
5.0,100,1.0,0.3,30,51.843839682028765,71.30065287928483,3.0189423093047467,3.8542360437718224,3.653889859273542,3.000502214896679
5.0,100,1.0,0.5,30,86.61178196168052,119.06698961637342,3.3262333142913563,4.269130898756258,4.092946577313001,3.3067626290421224
5.0,100,1.0,0.7,30,121.10473246725003,166.24782654066524,3.0993199058916674,3.9436184684980384,3.846977464574561,3.0791712574246923
5.0,100,5.0,0.3,30,260.8493817234257,358.572210595472,15.170683227724297,18.955839780105464,18.434370792751032,15.080844332579678
5.0,100,5.0,0.5,30,433.4003217775147,596.142295566058,16.81454659693182,20.709146242274368,20.067400778459103,16.730226484644685
5.0,100,5.0,0.7,30,607.1033968503049,832.7658785639292,15.437829673870343,19.305290374394524,18.80195405667829,15.36234303375311
5.0,100,10.0,0.3,30,518.8377817231644,714.6063737848071,31.9523028209315,42.71684548650753,39.4157216460642,31.77464288639368
5.0,100,10.0,0.5,30,864.1836902870333,1187.983166416876,33.840924633630266,46.29966046649047,42.933523347608,33.599977479111274
5.0,100,10.0,0.7,30,1211.2404648237705,1661.4387164652317,29.72744450066101,37.611792312393334,36.40487528220467,29.543278457818325
5.0,316,1.0,0.3,30,160.13618660769393,226.63913540157935,3.538017165916611,4.707535655346255,4.36909128449245,3.5170049811605733
5.0,316,1.0,0.5,30,266.91498967239676,377.5555225166111,3.8727087926342305,5.053309760761832,4.868628938789144,3.8488885785779976
5.0,316,1.0,0.7,30,373.679415193259,528.7407411628928,3.498415364142287,4.395164676306181,4.256323476397156,3.4799033503158228
5.0,316,5.0,0.3,30,825.910608716041,1134.8775489019615,17.29659897343198,23.156819773115643,21.439457986852663,17.194826617622365
5.0,316,5.0,0.5,30,1376.8363231346852,1889.5883513226865,18.748245219263502,24.138883186082566,23.70821911486292,18.628157652512968
5.0,316,5.0,0.7,30,1928.8655233941026,2643.0849188623024,17.426807877677007,22.54587427927003,21.87008036519525,17.323229425828025
5.0,316,10.0,0.3,30,1605.4592323900101,2261.9645418213827,36.00629976827098,44.95996397658887,43.980980524618715,35.752262786559804
5.0,316,10.0,0.5,30,2673.2471441326966,3775.9122779655977,39.07665298352368,52.68198400761123,49.38142906382851,38.81022405790584
5.0,316,10.0,0.7,30,3742.6572615851683,5288.789421859142,35.050063279486515,45.733682051218224,42.213243494972126,34.84730898635336
10.0,100,1.0,0.3,30,25.74587123391276,35.84324883790405,1.5471725835868542,1.9952834734179394,1.9421228380740185,1.5361648869214501
10.0,100,1.0,0.5,30,42.9022461456524,59.595145770377165,1.6697011338571295,2.1057648323320173,2.0504834820648132,1.6611103734706614
10.0,100,1.0,0.7,30,59.99900521172413,83.145087787219,1.5681092182152219,2.0557856978992444,1.9922403513060494,1.5590425914579111
10.0,100,5.0,0.3,30,125.52959610389117,179.5444548541784,7.747996007604253,9.61356655932745,9.251229347582719,7.702492442388898
10.0,100,5.0,0.5,30,208.51928905385088,296.8281762229668,8.507174669291029,11.437876248661187,10.735139221065587,8.453428973937488
10.0,100,5.0,0.7,30,291.9915824889375,416.3607636074184,7.984940520140882,10.466532660014023,9.807786223560793,7.936095028484642
10.0,100,10.0,0.3,30,257.8953143190188,353.765576711744,15.17426600697788,18.70940292133036,18.186081558499726,15.091663025526667
10.0,100,10.0,0.5,30,431.6789789846986,591.7426818587951,16.757499735120238,22.240335764488012,20.23465685118447,16.66754872770837
10.0,100,10.0,0.7,30,606.0928124214964,831.3503264714166,15.114380019240457,19.120196267843383,18.844471514869678,15.020318180695478
10.0,316,1.0,0.3,30,78.20269530322038,113.47123211414149,1.770508705235582,2.336642661568463,2.1836493396288232,1.7593301912640358
