I_nA,sigma_analytical_nm,sigma_mc_nm
0.5,5.5845634296997e-43,0.0006232683175311503
1.0,8.86494186308844e-43,0.004986146357588135
2.0,1.4072218039103519e-42,0.0398891650155518
5.0,2.5921247255896405e-42,0.6232675640549822
10.0,4.1147415162337764e-42,4.986122246425104
