r_beam_nm,density_m3,mean_sep_nm,sigma_thermal_nm,sigma_total_nm,sigma_LJ_excess_nm,wall_s
1,8.029141541255682e+19,231.79832605736206,261617.49361783374,261618.51759998445,731.9729066691726,16.47480845451355
2,2.0072853853139206e+19,367.95690662792424,261617.49361783374,261618.51738753676,731.8969706168652,16.478966236114502
5,3.211656616502273e+18,677.7824170797762,261617.49361783374,261618.51674005264,731.665489094452,16.411314487457275
10,8.029141541255683e+17,1075.912521877986,261617.49361783374,261618.5156277339,731.2676538511113,16.36197781562805
20,2.0072853853139206e+17,1707.904669054873,261617.49361783374,261618.51328341936,730.4284697335379,16.467960357666016
50,3.2116566165022732e+16,3145.9872987365684,261617.49361783374,261618.5053894358,727.595577896169,16.522670030593872
